2025-08-20 11:26:02,051 | INFO     | BlockTracker.BlockchainTracker | __init__             | 40   | Initializing BlockchainTracker
2025-08-20 11:26:02,089 | INFO     | BlockTracker.BlockchainTracker | __init__             | 52   | BlockchainTracker configuration: {'etherscan_api_key_configured': True, 'bitcoin_api_url': 'https://blockstream.info/api', 'tron_api_url': 'https://api.trongrid.io'}
2025-08-20 11:26:02,089 | INFO     | BlockTracker.BlockchainTracker | __init__             | 57   | BlockchainTracker initialized successfully
2025-08-20 11:26:02,249 | INFO     | BlockTracker.BlockchainTracker | __init__             | 40   | Initializing BlockchainTracker
2025-08-20 11:26:02,265 | INFO     | BlockTracker.BlockchainTracker | __init__             | 52   | BlockchainTracker configuration: {'etherscan_api_key_configured': True, 'bitcoin_api_url': 'https://blockstream.info/api', 'tron_api_url': 'https://api.trongrid.io'}
2025-08-20 11:26:02,268 | INFO     | BlockTracker.BlockchainTracker | __init__             | 57   | BlockchainTracker initialized successfully
2025-08-20 11:26:14,838 | INFO     | BlockTracker.BlockchainTracker | __init__             | 40   | Initializing BlockchainTracker
2025-08-20 11:26:14,851 | INFO     | BlockTracker.BlockchainTracker | __init__             | 52   | BlockchainTracker configuration: {'etherscan_api_key_configured': True, 'bitcoin_api_url': 'https://blockstream.info/api', 'tron_api_url': 'https://api.trongrid.io'}
2025-08-20 11:26:14,856 | INFO     | BlockTracker.BlockchainTracker | __init__             | 57   | BlockchainTracker initialized successfully
2025-08-20 11:26:15,128 | INFO     | BlockTracker.BlockchainTracker | __init__             | 40   | Initializing BlockchainTracker
2025-08-20 11:26:15,128 | INFO     | BlockTracker.BlockchainTracker | __init__             | 52   | BlockchainTracker configuration: {'etherscan_api_key_configured': True, 'bitcoin_api_url': 'https://blockstream.info/api', 'tron_api_url': 'https://api.trongrid.io'}
2025-08-20 11:26:15,141 | INFO     | BlockTracker.BlockchainTracker | __init__             | 57   | BlockchainTracker initialized successfully
2025-08-20 11:26:41,755 | INFO     | BlockTracker.BlockchainTracker | __init__             | 40   | Initializing BlockchainTracker
2025-08-20 11:26:41,755 | INFO     | BlockTracker.BlockchainTracker | __init__             | 52   | BlockchainTracker configuration: {'etherscan_api_key_configured': True, 'bitcoin_api_url': 'https://blockstream.info/api', 'tron_api_url': 'https://api.trongrid.io'}
2025-08-20 11:26:41,769 | INFO     | BlockTracker.BlockchainTracker | __init__             | 57   | BlockchainTracker initialized successfully
2025-08-20 11:26:42,236 | INFO     | BlockTracker.BlockchainTracker | __init__             | 40   | Initializing BlockchainTracker
2025-08-20 11:26:42,244 | INFO     | BlockTracker.BlockchainTracker | __init__             | 52   | BlockchainTracker configuration: {'etherscan_api_key_configured': True, 'bitcoin_api_url': 'https://blockstream.info/api', 'tron_api_url': 'https://api.trongrid.io'}
2025-08-20 11:26:42,248 | INFO     | BlockTracker.BlockchainTracker | __init__             | 57   | BlockchainTracker initialized successfully
2025-08-20 11:27:28,533 | INFO     | BlockTracker.BlockchainTracker | __init__             | 40   | Initializing BlockchainTracker
