2025-08-20 11:29:35,009 | USER_ACTION | Initializing BlockchainTracker
2025-08-20 11:29:35,009 | USER_ACTION | BlockchainTracker configuration: {'etherscan_api_key_configured': True, 'bitcoin_api_url': 'https://blockstream.info/api', 'tron_api_url': 'https://api.trongrid.io'}
2025-08-20 11:29:35,009 | USER_ACTION | BlockchainTracker initialized successfully
2025-08-20 11:29:35,082 | USER_ACTION | Initializing BlockchainTracker
2025-08-20 11:29:35,082 | USER_ACTION | BlockchainTracker configuration: {'etherscan_api_key_configured': True, 'bitcoin_api_url': 'https://blockstream.info/api', 'tron_api_url': 'https://api.trongrid.io'}
2025-08-20 11:29:35,090 | USER_ACTION | BlockchainTracker initialized successfully
2025-08-20 11:29:44,735 | USER_ACTION | Initializing BlockchainTracker
2025-08-20 11:29:44,735 | USER_ACTION | BlockchainTracker configuration: {'etherscan_api_key_configured': True, 'bitcoin_api_url': 'https://blockstream.info/api', 'tron_api_url': 'https://api.trongrid.io'}
2025-08-20 11:29:44,735 | USER_ACTION | BlockchainTracker initialized successfully
2025-08-20 11:29:44,794 | USER_ACTION | Initializing BlockchainTracker
2025-08-20 11:29:44,794 | USER_ACTION | BlockchainTracker configuration: {'etherscan_api_key_configured': True, 'bitcoin_api_url': 'https://blockstream.info/api', 'tron_api_url': 'https://api.trongrid.io'}
2025-08-20 11:29:44,794 | USER_ACTION | BlockchainTracker initialized successfully
2025-08-20 11:29:54,392 | USER_ACTION | Initializing Flask application
2025-08-20 11:29:54,392 | USER_ACTION | Initializing BlockchainTracker
2025-08-20 11:29:54,392 | USER_ACTION | BlockchainTracker configuration: {'etherscan_api_key_configured': True, 'bitcoin_api_url': 'https://blockstream.info/api', 'tron_api_url': 'https://api.trongrid.io'}
2025-08-20 11:29:54,392 | USER_ACTION | BlockchainTracker initialized successfully
2025-08-20 11:29:54,392 | USER_ACTION | Flask application initialized successfully
2025-08-20 11:29:54,492 | USER_ACTION | Initializing Flask application
2025-08-20 11:29:54,492 | USER_ACTION | Initializing BlockchainTracker
2025-08-20 11:29:54,492 | USER_ACTION | BlockchainTracker configuration: {'etherscan_api_key_configured': True, 'bitcoin_api_url': 'https://blockstream.info/api', 'tron_api_url': 'https://api.trongrid.io'}
2025-08-20 11:29:54,492 | USER_ACTION | BlockchainTracker initialized successfully
2025-08-20 11:29:54,492 | USER_ACTION | Flask application initialized successfully
2025-08-20 11:30:01,091 | USER_ACTION | Initializing Flask application
2025-08-20 11:30:01,091 | USER_ACTION | Initializing BlockchainTracker
2025-08-20 11:30:01,091 | USER_ACTION | BlockchainTracker configuration: {'etherscan_api_key_configured': True, 'bitcoin_api_url': 'https://blockstream.info/api', 'tron_api_url': 'https://api.trongrid.io'}
2025-08-20 11:30:01,091 | USER_ACTION | BlockchainTracker initialized successfully
2025-08-20 11:30:01,091 | USER_ACTION | Flask application initialized successfully
2025-08-20 11:30:01,187 | USER_ACTION | Initializing Flask application
2025-08-20 11:30:01,187 | USER_ACTION | Initializing BlockchainTracker
2025-08-20 11:30:01,187 | USER_ACTION | BlockchainTracker configuration: {'etherscan_api_key_configured': True, 'bitcoin_api_url': 'https://blockstream.info/api', 'tron_api_url': 'https://api.trongrid.io'}
2025-08-20 11:30:01,187 | USER_ACTION | BlockchainTracker initialized successfully
2025-08-20 11:30:01,204 | USER_ACTION | Flask application initialized successfully
2025-08-20 11:30:21,968 | USER_ACTION | Initializing Flask application
2025-08-20 11:30:21,968 | USER_ACTION | Initializing BlockchainTracker
2025-08-20 11:30:21,968 | USER_ACTION | BlockchainTracker configuration: {'etherscan_api_key_configured': True, 'bitcoin_api_url': 'https://blockstream.info/api', 'tron_api_url': 'https://api.trongrid.io'}
2025-08-20 11:30:21,968 | USER_ACTION | BlockchainTracker initialized successfully
2025-08-20 11:30:21,968 | USER_ACTION | Flask application initialized successfully
2025-08-20 11:30:22,103 | USER_ACTION | Initializing Flask application
2025-08-20 11:30:22,103 | USER_ACTION | Initializing BlockchainTracker
2025-08-20 11:30:22,103 | USER_ACTION | BlockchainTracker configuration: {'etherscan_api_key_configured': True, 'bitcoin_api_url': 'https://blockstream.info/api', 'tron_api_url': 'https://api.trongrid.io'}
2025-08-20 11:30:22,103 | USER_ACTION | BlockchainTracker initialized successfully
2025-08-20 11:30:22,103 | USER_ACTION | Flask application initialized successfully
2025-08-20 11:30:34,686 | USER_ACTION | Initializing Flask application
2025-08-20 11:30:34,686 | USER_ACTION | Initializing BlockchainTracker
2025-08-20 11:30:34,686 | USER_ACTION | BlockchainTracker configuration: {'etherscan_api_key_configured': True, 'bitcoin_api_url': 'https://blockstream.info/api', 'tron_api_url': 'https://api.trongrid.io'}
2025-08-20 11:30:34,686 | USER_ACTION | BlockchainTracker initialized successfully
2025-08-20 11:30:34,688 | USER_ACTION | Flask application initialized successfully
2025-08-20 11:30:34,869 | USER_ACTION | Initializing Flask application
2025-08-20 11:30:34,869 | USER_ACTION | Initializing BlockchainTracker
2025-08-20 11:30:34,869 | USER_ACTION | BlockchainTracker configuration: {'etherscan_api_key_configured': True, 'bitcoin_api_url': 'https://blockstream.info/api', 'tron_api_url': 'https://api.trongrid.io'}
2025-08-20 11:30:34,869 | USER_ACTION | BlockchainTracker initialized successfully
2025-08-20 11:30:34,869 | USER_ACTION | Flask application initialized successfully
2025-08-20 11:30:44,410 | USER_ACTION | Initializing Flask application
2025-08-20 11:30:44,410 | USER_ACTION | Initializing BlockchainTracker
2025-08-20 11:30:44,410 | USER_ACTION | BlockchainTracker configuration: {'etherscan_api_key_configured': True, 'bitcoin_api_url': 'https://blockstream.info/api', 'tron_api_url': 'https://api.trongrid.io'}
2025-08-20 11:30:44,410 | USER_ACTION | BlockchainTracker initialized successfully
2025-08-20 11:30:44,410 | USER_ACTION | Flask application initialized successfully
2025-08-20 11:30:44,427 | USER_ACTION | Starting Flask server
2025-08-20 11:30:44,580 | USER_ACTION | Initializing Flask application
2025-08-20 11:30:44,588 | USER_ACTION | Initializing BlockchainTracker
2025-08-20 11:30:44,588 | USER_ACTION | BlockchainTracker configuration: {'etherscan_api_key_configured': True, 'bitcoin_api_url': 'https://blockstream.info/api', 'tron_api_url': 'https://api.trongrid.io'}
2025-08-20 11:30:44,588 | USER_ACTION | BlockchainTracker initialized successfully
2025-08-20 11:30:44,588 | USER_ACTION | Flask application initialized successfully
2025-08-20 11:30:44,588 | USER_ACTION | Starting Flask server
2025-08-20 11:31:42,604 | USER_ACTION | Initializing Flask application
2025-08-20 11:31:42,604 | USER_ACTION | Initializing BlockchainTracker
2025-08-20 11:31:42,604 | USER_ACTION | BlockchainTracker configuration: {'etherscan_api_key_configured': True, 'bitcoin_api_url': 'https://blockstream.info/api', 'tron_api_url': 'https://api.trongrid.io'}
2025-08-20 11:31:42,604 | USER_ACTION | BlockchainTracker initialized successfully
2025-08-20 11:31:42,604 | USER_ACTION | Flask application initialized successfully
2025-08-20 11:31:42,607 | USER_ACTION | Starting Flask server
2025-08-20 11:31:51,997 | USER_ACTION | Initializing Flask application
2025-08-20 11:31:51,997 | USER_ACTION | Initializing BlockchainTracker
2025-08-20 11:31:51,997 | USER_ACTION | BlockchainTracker configuration: {'etherscan_api_key_configured': True, 'bitcoin_api_url': 'https://blockstream.info/api', 'tron_api_url': 'https://api.trongrid.io'}
2025-08-20 11:31:51,997 | USER_ACTION | BlockchainTracker initialized successfully
2025-08-20 11:31:51,997 | USER_ACTION | Flask application initialized successfully
2025-08-20 11:31:51,997 | USER_ACTION | Starting Flask server
2025-08-20 11:32:23,501 | USER_ACTION | Initializing Flask application
2025-08-20 11:32:23,501 | USER_ACTION | Initializing BlockchainTracker
2025-08-20 11:32:23,501 | USER_ACTION | BlockchainTracker configuration: {'etherscan_api_key_configured': True, 'bitcoin_api_url': 'https://blockstream.info/api', 'tron_api_url': 'https://api.trongrid.io'}
2025-08-20 11:32:23,501 | USER_ACTION | BlockchainTracker initialized successfully
2025-08-20 11:32:23,501 | USER_ACTION | Flask application initialized successfully
2025-08-20 11:32:23,501 | USER_ACTION | Starting Flask server
2025-08-20 11:36:04,767 | USER_ACTION | Initializing Flask application
2025-08-20 11:36:04,767 | USER_ACTION | Initializing BlockchainTracker
2025-08-20 11:36:04,767 | USER_ACTION | BlockchainTracker configuration: {'etherscan_api_key_configured': True, 'bitcoin_api_url': 'https://blockstream.info/api', 'tron_api_url': 'https://api.trongrid.io'}
2025-08-20 11:36:04,767 | USER_ACTION | BlockchainTracker initialized successfully
2025-08-20 11:36:04,767 | USER_ACTION | Flask application initialized successfully
2025-08-20 11:36:04,767 | USER_ACTION | Starting Flask server
2025-08-20 11:36:31,162 | USER_ACTION | BlockTracker CLI started
2025-08-20 11:36:31,168 | USER_ACTION | CLI arguments: Namespace(whataddress=['0x742d35Cc6634C0532925a3b8D4C9db96C4b4d8b6'], track=None, analyze=None, graph=None)
2025-08-20 11:36:31,168 | USER_ACTION | Processing whataddress command for 1 address(es)
2025-08-20 11:36:31,168 | USER_ACTION | Currency detection requested for 1 address(es)
2025-08-20 11:36:31,168 | USER_ACTION | Initializing BlockchainTracker
2025-08-20 11:36:31,168 | USER_ACTION | BlockchainTracker configuration: {'etherscan_api_key_configured': True, 'bitcoin_api_url': 'https://blockstream.info/api', 'tron_api_url': 'https://api.trongrid.io'}
